date,game_id,player_id,player_name,stat,role_bucket,line,model_prob_over,market_probability_for_side,market_prob_over_no_vig,hit_result,actual,model_mean,model_variance,model_p0,actual_minutes,odds_snapshot_family,bookmaker_key,model_event_logloss,market_event_logloss,logloss_gap
2026-05-12,20054036.0,261.0,Luke Kornet,pts,core,2.5,0.8403333333333333,0.5420560747663551,0.5420560747663551,0.0,0.0,7.851333333333331,27.697231555555554,0.043,,close_or_lock,fliff,1.834666970239331,0.7810085363512794,1.0536584338880517
2026-05-12,20314126.0,56677822.0,Victor Wembanyama,reb,core,14.5,0.1316666666666666,0.375,0.375,1.0,17.0,8.852999999999996,26.252724333333322,0.07033333333333333,,close_or_lock,espnbet,2.0274818027491253,0.9808292530117262,1.046652549737399
2026-05-12,18447193.0,17895983.0,Ayo Dosunmu,reb,inactive_risk,3.5,0.18066666666666664,0.5079872204472844,0.5079872204472844,1.0,9.0,1.4989999999999997,4.798665666666666,0.5496666666666665,,close_or_lock,betparx,1.7111015662106006,0.6772989883199216,1.033802577890679
2026-05-12,18447193.0,17895983.0,Ayo Dosunmu,reb,inactive_risk,3.5,0.18066666666666664,0.5,0.5,1.0,9.0,1.4989999999999997,4.798665666666666,0.5496666666666665,,close_or_lock,fliff,1.7111015662106006,0.6931471805599453,1.0179543856506554
2026-05-12,18447193.0,17895983.0,Ayo Dosunmu,reb,inactive_risk,3.5,0.18066666666666664,0.5,0.5,1.0,9.0,1.4989999999999997,4.798665666666666,0.5496666666666665,,close_or_lock,hardrockbet,1.7111015662106006,0.6931471805599453,1.0179543856506554
2026-05-12,18447193.0,17895983.0,Ayo Dosunmu,reb,inactive_risk,3.5,0.18066666666666664,0.5,0.5,1.0,9.0,1.4989999999999997,4.798665666666666,0.5496666666666665,,close_or_lock,hardrockbet_az,1.7111015662106006,0.6931471805599453,1.0179543856506554
2026-05-12,18447193.0,17895983.0,Ayo Dosunmu,reb,inactive_risk,3.5,0.18066666666666664,0.5,0.5,1.0,9.0,1.4989999999999997,4.798665666666666,0.5496666666666665,,close_or_lock,hardrockbet_fl,1.7111015662106006,0.6931471805599453,1.0179543856506554
2026-05-06,21708674.0,172.0,Paul George,pra,starter,28.5,0.16319999999999998,0.44892552251987045,0.44892552251987045,1.0,29.0,17.954600000000006,113.89033884000003,0.020000000000000004,,hist_lockday,fanduel,1.8127788364521304,0.800898279119072,1.0118805573330585
2026-05-06,21708674.0,172.0,Paul George,pra,starter,28.5,0.16319999999999998,0.4458598726114649,0.4458598726114649,1.0,29.0,17.954600000000006,113.89033884000003,0.020000000000000004,,hist_lockday,bovada,1.8127788364521304,0.8077505632989491,1.0050282731531812
2026-05-06,21708674.0,172.0,Paul George,ra,starter,9.5,0.16794999999999996,0.4581151832460733,0.4581151832460733,1.0,10.0,5.6664,16.50291104,0.06325,,hist_lockday,fanduel,1.7840889629238355,0.7806346346830612,1.0034543282407742
2026-05-06,21708674.0,172.0,Paul George,ra,starter,9.5,0.16794999999999996,0.45722256664600125,0.45722256664600125,1.0,10.0,5.6664,16.50291104,0.06325,,hist_lockday,fanduel,1.7840889629238355,0.7825849899112339,1.0015039730126016
2026-05-06,21708674.0,172.0,Paul George,reb,starter,5.5,0.183,0.4970261697065821,0.4970261697065821,1.0,6.0,3.081999999999999,7.394609333333333,0.185,,hist_lockday,betrivers,1.6982691261407161,0.6991125989265168,0.9991565272141993
2026-05-12,18447193.0,17895983.0,Ayo Dosunmu,reb,inactive_risk,3.5,0.18066666666666664,0.48987854251012153,0.48987854251012153,1.0,9.0,1.4989999999999997,4.798665666666666,0.5496666666666665,,close_or_lock,espnbet,1.7111015662106006,0.713597791031236,0.9975037751793646
2026-05-06,21708674.0,172.0,Paul George,pra,starter,27.5,0.1846,0.5,0.5,1.0,29.0,17.954600000000006,113.89033884000003,0.020000000000000004,,hist_lockday,fanduel,1.6895639569133853,0.6931471805599453,0.9964167763534401
2026-05-06,21708674.0,172.0,Paul George,pra,starter,27.5,0.1846,0.5,0.5,1.0,29.0,17.954600000000006,113.89033884000003,0.020000000000000004,,hist_lockday,fanduel,1.6895639569133853,0.6931471805599453,0.9964167763534401
2026-05-06,21708674.0,172.0,Paul George,pra,starter,28.5,0.16319999999999998,0.4388409027584286,0.4388409027584286,1.0,29.0,17.954600000000006,113.89033884000003,0.020000000000000004,,hist_lockday,betrivers,1.8127788364521304,0.8236183398878737,0.9891604965642568
2026-05-06,21708674.0,1028034846.0,Adem Bona,pr,fringe,6.5,0.1986,0.5330897279740154,0.5330897279740154,1.0,9.0,3.9761499999999996,24.869181177499996,0.24339999999999998,,hist_lockday,fanduel,1.6164625273710649,0.6290655238177417,0.9873970035533232
2026-05-12,20314126.0,56677822.0,Victor Wembanyama,reb,core,13.5,0.17999999999999994,0.4809885931558936,0.4809885931558936,1.0,17.0,8.852999999999996,26.252724333333322,0.07033333333333333,,close_or_lock,fliff,1.714798428091927,0.7319117240101896,0.9828867040817375
2026-05-06,21708674.0,172.0,Paul George,ra,starter,9.5,0.16794999999999996,0.4477392836171462,0.4477392836171462,1.0,10.0,5.6664,16.50291104,0.06325,,hist_lockday,draftkings,1.7840889629238355,0.8035441721811216,0.9805447907427138
2026-05-12,20314126.0,56677822.0,Victor Wembanyama,reb,core,13.5,0.17999999999999994,0.4796954314720812,0.4796954314720812,1.0,17.0,8.852999999999996,26.252724333333322,0.07033333333333333,,close_or_lock,hardrockbet,1.714798428091927,0.7346038942382914,0.9801945338536356
2026-05-12,20314126.0,56677822.0,Victor Wembanyama,reb,core,13.5,0.17999999999999994,0.4796954314720812,0.4796954314720812,1.0,17.0,8.852999999999996,26.252724333333322,0.07033333333333333,,close_or_lock,hardrockbet_az,1.714798428091927,0.7346038942382914,0.9801945338536356
2026-05-12,20314126.0,56677822.0,Victor Wembanyama,reb,core,13.5,0.17999999999999994,0.4796954314720812,0.4796954314720812,1.0,17.0,8.852999999999996,26.252724333333322,0.07033333333333333,,close_or_lock,hardrockbet_fl,1.714798428091927,0.7346038942382914,0.9801945338536356
